Date,Equity
19730730,139524.60744001402
19730731,138166.78582201403
19730801,136493.041114014
19730802,135858.10571221402
19730803,136375.317939014
19730806,137026.10443001403
19730807,136714.14117601403
19730808,135013.646027014
19730809,134086.225558014
19730810,135041.351620014
19730813,132960.76922701398
19730814,130887.138317014
19730815,131531.218594014
19730816,130929.47252601401
19730817,132523.727805014
19730820,130321.940098014
19730821,127905.833966214
19730822,128606.472707014
19730823,129959.050369014
19730824,130524.54735601401
19730827,131132.036443014
19730828,133092.57246701402
19730829,133689.69508401403
19730830,132044.09578201402
19730831,133468.29300601402
19730904,135396.20350801403
19730905,135050.597202014
19730906,135924.781092014
19730907,135343.65802401403
19730910,133706.518588014
19730911,133616.693521314
19730912,133085.99563601403
19730913,134738.06015931402
19730914,135632.084016314
19730917,136215.779229314
19730918,136087.58334031398
19730919,140430.034930214
19730920,141567.484095214
19730921,141967.96438631404
19730924,142647.482101314
19730925,143401.90433131403
19730926,144186.14086831402
19730927,143782.96563031402
19730928,142991.779265314
19731001,142969.161498314
19731002,144807.35248021403
19731003,144026.515522214
19731004,143600.52528621402
19731005,145008.891032214
19731008,147687.11619351403
19731009,146449.577784214
19731010,143627.76454345198
19731011,146582.882834252
19731012,146936.909486252
19731015,144475.216998452
19731016,144952.750186452
19731017,144601.077562452
19731018,144008.519156452
19731019,144199.82679845198
19731022,143220.069432452
19731023,144236.503014452
19731024,144884.910105252
19731025,144826.918486252
19731026,146468.62325325198
19731029,147569.865307852
19731030,145593.48596125198
19731031,144148.856960252
19731101,142711.12047145198
19731102,141687.589272452
19731105,138735.829303452
19731106,136581.943461452
19731107,137039.95940905198
19731108,139051.397997252
19731109,136660.968357452
19731112,134266.193801452
19731113,134272.411531252
19731114,131078.900781452
19731115,130971.78924945199
19731116,132966.968147452
19731119,128548.858461052
19731120,126011.358481052
19731121,127937.25835645199
19731123,126849.795779052
19731126,122621.47201205199
19731127,121288.892162252
19731128,125155.077153252
19731129,124525.495734252
19731130,122580.79202425199
19731203,119149.831334252
19731204,118746.336361252
19731205,116537.897763252
19731206,120452.33414225199
19731207,122391.237408252
19731210,123932.77261925199
19731211,120513.94044945198
19731212,118044.51849845199
19731213,116736.01654725199
19731214,119203.72565325198
19731217,118322.78356025199
19731218,122041.58822805199
19731219,120997.096300052
19731220,119940.80228805199
19731221,119492.96630105199
19731224,118056.79875225198
19731226,122500.01932445199
19731227,125643.16302245199
19731228,125363.137990452
19731231,125361.81683145199
19740102,125761.67797945198
19740103,129204.131620252
19740104,126444.21903945199
19740107,125377.13657145199
19740108,123891.607626452
19740109,119545.237666052
19740110,117042.290955494
19740111,120003.728659994
19740114,122967.26240449399
19740115,124152.925204994
19740116,126044.908132994
19740117,128052.29335849399
19740118,125635.82211299399
19740121,126667.53302549399
19740122,127291.22429999399
19740123,128843.99590799399
19740124,127771.520852994
19740125,127696.12592499399
19740128,126916.63345299399
19740129,126232.49066999399
19740130,128592.77727849399
19740131,126874.73784199399
19740201,124872.164179994
19740204,121451.584935494
19740205,120667.58902149399
19740206,121592.06657599399
19740207,122423.029400994
19740208,121014.562214494
19740211,118881.092651494
19740212,117760.313838494
19740213,119903.53795249399
19740214,120360.02391849399
19740215,122100.955527994
