<TICKER>        <NAME>
BOLT.US         BOLT BIOTHERAPEUTICS
BON.US          BON NATURAL LIFE
BOOM.US         DMC GLOBAL
BOSC.US         BOS BETTER ON-LINE SOLUTIONS
BOTJ.US         BANK OF THE JAMES FINANCIAL GROUP
BOWNU.US        BOWEN ACQUISITION
BOXL.US         BOXLIGHT
BPACU.US        BULLPEN PARLAY ACQUISITION
BPMC.US         BLUEPRINT MEDICINES
BPOP.US         POPULAR
BPOPM.US        Popular
BPRN.US         PRINCETON BANCORP
BPTH.US         BIO-PATH HOLDINGS
BPTS.US         BIOPHYTIS
BPYPM.US        Brookfield Property Partners L
BPYPN.US        Brookfield Property Partners L
BPYPO.US        Brookfield Property Partners L
BPYPP.US        Brookfield Property Partners L
BRAC.US         BROAD CAPITAL ACQUISITION
BRACR.US        BROAD CAPITAL ACQUISITION
BRACU.US        BROAD CAPITAL ACQUISITION
BRAG.US         BRAGG GAMING GROUP
BREA.US         BRERA HOLDINGS
BREZ.US         BREEZE HOLDINGS ACQUISITION
BREZR.US        BREEZE HOLDINGS ACQUISITION
BREZW.US        BREEZE HOLDINGS ACQUISITION
BRFH.US         BARFRESH FOOD GROUP
BRID.US         BRIDGFORD FOODS
BRIV.US         B RILEY PRINCIPAL 250 MERGER
BRKH.US         BURTECH ACQUISITION
BRKHU.US        BURTECH ACQUISITION
BRKHW.US        BURTECH ACQUISITION
BRKL.US         BROOKLINE BANCORP
BRKR.US         BRUKER
BRLI.US         BRILLIANT ACQUISITION
BRLIR.US        BRILLIANT ACQUISITION
BRLIU.US        BRILLIANT ACQUISITION
BRLIW.US        BRILLIANT ACQUISITION
BRLT.US         BRILLIANT EARTH GROUP
BRNY.US         BURNEY US FACTOR ROTATION ETF
BROG.US         BROOGE ENERGY
BROGW.US        BROOGE ENERGY
BRP.US          BRP GROUP
BRQS.US         BORQS TECHNOLOGIES
BRSH.US         BRUUSH ORAL CARE
BRSHW.US        BRUUSH ORAL CARE
BRTX.US         BIORESTORATIVE THERAPIES
BRY.US          BERRY
BRZE.US         BRAZE
BSBK.US         BOGOTA FINANCIAL
BSCV.US         INVESCO BULLETSHARES 2031 CORPORATE BOND ETF
BSCW.US         INVESCO BULLETSHARES 2032 CORPORATE BOND ETF
BSET.US         BASSETT FURNITURE INDUSTRIES
BSFC.US         BLUE STAR FOODS
BSGM.US         BIOSIG TECHNOLOGIES
BSJT.US         INVESCO BULLETSHARES 2029 HIGH YIELD CORPORATE BOND ETF
BSJU.US         INVESCO BULLETSHARES 2030 HIGH YIELD CORPORATE BOND ETF
BSMV.US         INVESCO BULLETSHARES 2031 MUNICIPAL BOND ETF
BSMW.US         INVESCO BULLETSHARES 2032 MUNICIPAL BOND ETF
BSQR.US         BSQUARE
BSRR.US         SIERRA BANCORP
BSVN.US         BANK7
BSVO.US         EA BRIDGEWAY OMNI SMALL-CAP VALUE ETF
BSY.US          BENTLEY SYSTEMS
BTAI.US         BIOXCEL THERAPEUTICS
BTB.US          BIT BROTHER
BTBD.US         BT BRANDS
BTBDW.US        BT BRANDS
BTBT.US         BIT DIGITAL
BTCS.US         BTCS
BTCY.US         BIOTRICITY
BTDR.US         BITDEER TECHNOLOGIES GROUP
BTF.US          VALKYRIE BITCOIN STRATEGY ETF
BTM.US          BITCOIN DEPOT
BTMD.US         BIOTE
BTMWW.US        BITCOIN DEPOT
BTOG.US         BIT ORIGIN
BTTX.US         BETTER THERAPEUTICS
BTWN.US         BRIDGETOWN HOLDINGS
BTWNU.US        BRIDGETOWN HOLDINGS
BTWNW.US        BRIDGETOWN HOLDINGS
BUJAU.US        BUKIT JALIL GLOBAL ACQUISITION 1
BULD.US         PACER BLUESTAR ENGINEERING THE FUTURE ETF
BUSE.US         FIRST BUSEY
BVFL.US         BV FINANCIAL
BVS.US          BIOVENTUS
BVXV.US         BIONDVAX PHARMACEUTICALS
BWAC.US         BETTER WORLD ACQUISITION
BWACU.US        BETTER WORLD ACQUISITION
BWAQ.US         BLUE WORLD ACQUISITION
BWAQR.US        BLUE WORLD ACQUISITION
BWAQU.US        BLUE WORLD ACQUISITION
BWAQW.US        BLUE WORLD ACQUISITION
BWAY.US         BRAINSWAY
BWB.US          BRIDGEWATER BANCSHARES
BWBBP.US        Bridgewater Bancshares
BWC.US          BLUE WHALE ACQUISITION I
BWCAU.US        BLUE WHALE ACQUISITION I
BWCAW.US        BLUE WHALE ACQUISITION I
BWEN.US         BROADWIND
BWFG.US         BANKWELL FINANCIAL GROUP
BWMN.US         BOWMAN CONSULTING GROUP
BWMX.US         BETTERWARE DE MEXICO SAPI DE CV
BWV.US          BLUE WATER BIOTECH
BXRX.US         BAUDAX BIO
BYFC.US         BROADWAY FINANCIAL CORP/DE
BYND.US         BEYOND MEAT
BYNO.US         BYNORDIC ACQUISITION
BYNOU.US        BYNORDIC ACQUISITION
BYNOW.US        BYNORDIC ACQUISITION
BYOB.US         SOFI BE YOUR OWN BOSS ETF
BYRN.US         BYRNA TECHNOLOGIES
BYSI.US         BEYONDSPRING
BYTS.US         BYTE ACQUISITION
BYTSU.US        BYTE ACQUISITION
BYTSW.US        BYTE ACQUISITION
BZ.US           KANZHUN
BZFD.US         BUZZFEED
BZFDW.US        BUZZFEED
BZUN.US         BAOZUN
CAAS.US         CHINA AUTOMOTIVE SYSTEMS
CABA.US         CABALETTA BIO
CAC.US          CAMDEN NATIONAL
CACC.US         CREDIT ACCEPTANCE
CACO.US         CARAVELLE INT GROUP
CADL.US         CANDEL THERAPEUTICS
CAFG.US         PACER US SMALL CAP CASH COWS GROWTH LEADERS ETF
CAKE.US         CHEESECAKE FACTORY
CALB.US         CALIFORNIA BANCORP
CALC.US         CALCIMEDICA
CALM.US         CAL-MAINE FOODS
CALT.US         CALLIDITAS THERAPEUTICS AB
CALY.US         BLACKROCK SHORT-TERM CALIFORNIA MUNI BOND
CAMP.US         CALAMP
CAMT.US         CAMTEK LTD/ISRAEL
CAN.US          CANAAN
CAPR.US         CAPRICOR THERAPEUTICS
CAR.US          AVIS BUDGET GROUP
CARA.US         CARA THERAPEUTICS
CARE.US         CARTER BANKSHARES
CARG.US         CARGURUS
CARM.US         CARISMA THERAPEUTICS
CARV.US         CARVER BANCORP
CASA.US         CASA SYSTEMS
CASH.US         PATHWARD FINANCIAL
CASI.US         CASI PHARMACEUTICALS HOLDINGS
CASS.US         CASS INFORMATION SYSTEMS
CASY.US         CASEY'S GENERAL STORES
CATC.US         CAMBRIDGE BANCORP
CATY.US         CATHAY GENERAL BANCORP
CBAN.US         COLONY BANKCORP
CBAT.US         CBAK ENERGY TECHNOLOGY
CBAY.US         CYMABAY THERAPEUTICS
CBFV.US         CB FINANCIAL SERVICES
CBIO.US         CATALYST BIOSCIENCES
CBNK.US         CAPITAL BANCORP
CBRG.US         CHAIN BRIDGE I
CBRGU.US        CHAIN BRIDGE I
CBRGW.US        CHAIN BRIDGE I
CBRL.US         CRACKER BARREL OLD COUNTRY STORE
CBSH.US         COMMERCE BANCSHARES INC/MO
CBUS.US         CIBUS
CCAI.US         CASCADIA ACQUISITION
CCAIU.US        CASCADIA ACQUISITION
CCAIW.US        CASCADIA ACQUISITION
CCAP.US         CRESCENT CAPITAL BDC
CCB.US          COASTAL FINANCIAL CORP/WA
CCBG.US         CAPITAL CITY BANK GROUP
CCCC.US         C4 THERAPEUTICS
CCCS.US         CCC INTELLIGENT SOLUTIONS HOLDINGS
CCD.US          CALAMOS DYNAMIC CONVERTIBLE & INCOME FUND
CCEP.US         COCA-COLA EUROPACIFIC PARTNERS
CCLD.US         CARECLOUD
CCLDO.US        CareCloud
CCLDP.US        CareCloud
CCLP.US         CSI COMPRESSCO
CCNE.US         CNB FINANCIAL CORP/PA
CCNEP.US        CNB Financial Corp
CCOI.US         COGENT COMMUNICATIONS HOLDINGS
CCRN.US         CROSS COUNTRY HEALTHCARE
CCSI.US         CONSENSUS CLOUD SOLUTIONS
CCSO.US         CARBON COLLECTIVE CLIMATE SOLUTIONS US EQUITY ETF
CCTS.US         CACTUS ACQUISITION 1
CCTSU.US        CACTUS ACQUISITION 1
CD.US           CHINDATA GROUP HOLDINGS
CDAQ.US         COMPASS DIGITAL ACQUISITION
CDAQU.US        COMPASS DIGITAL ACQUISITION
CDIO.US         CARDIO DIAGNOSTICS HOLDINGS
CDIOW.US        CARDIO DIAGNOSTICS HOLDINGS IN
CDLX.US         CARDLYTICS
CDMO.US         AVID BIOSERVICES
CDNA.US         CAREDX
CDNS.US         CADENCE DESIGN SYSTEMS
CDRO.US         CODERE ONLINE LUXEMBOURG
CDROW.US        CODERE ONLINE LUXEMBOURG
CDTX.US         CIDARA THERAPEUTICS
CDW.US          CDW CORP/DE
CDXC.US         CHROMADEX
CDXS.US         CODEXIS
CDZI.US         CADIZ
CDZIP.US        Cadiz
CEAD.US         CEA INDUSTRIES
CEADW.US        CEA INDUSTRIES
CECO.US         CECO ENVIRONMENTAL
CEG.US          CONSTELLATION ENERGY
CELC.US         CELCUITY
CELH.US         CELSIUS HOLDINGS
CELL.US         PHENOMEX
CELU.US         CELULARITY
CELUW.US        CELULARITY
CELZ.US         CREATIVE MEDICAL TECHNOLOGY HOLDINGS
CENN.US         CENNTRO ELECTRIC GROUP
CENT.US         CENTRAL GARDEN & PET
CENTA.US        CENTRAL GARDEN & PET
CENX.US         CENTURY ALUMINUM
CERE.US         CEREVEL THERAPEUTICS HOLDINGS
CERS.US         CERUS
CERT.US         CERTARA
CETU.US         CETUS CAPITAL ACQUISITION
CETUR.US        CETUS CAPITAL ACQUISITION
CETUU.US        CETUS CAPITAL ACQUISITION
CETUW.US        CETUS CAPITAL ACQUISITION
CETX.US         CEMTREX
CETXP.US        Cemtrex
CETY.US         CLEAN ENERGY TECHNOLOGIES
CEVA.US         CEVA
CFB.US          CROSSFIRST BANKSHARES
CFBK.US         CF BANKSHARES
CFFE.US         CF ACQUISITION VIII
CFFEU.US        CF ACQUISITION VIII
CFFEW.US        CF ACQUISITION VIII
CFFI.US         C&F FINANCIAL
CFFN.US         CAPITOL FEDERAL FINANCIAL
CFFS.US         CF ACQUISITION VII
CFFSU.US        CF ACQUISITION VII
CFFSW.US        CF ACQUISITION VII
CFIV.US         CF ACQUISITION IV
CFIVU.US        CF ACQUISITION IV
CFIVW.US        CF ACQUISITION IV
CFLT.US         CONFLUENT
CFMS.US         CONFORMIS
CFRX.US         CONTRAFECT
CFSB.US         CFSB BANCORP
CG.US           CARLYLE GROUP
CGABL.US        Carlyle Group
CGBD.US         CARLYLE SECURED LENDING
CGC.US          CANOPY GROWTH
CGEM.US         CULLINAN ONCOLOGY
CGEN.US         COMPUGEN
CGNT.US         COGNYTE SOFTWARE
CGNX.US         COGNEX
CGO.US          CALAMOS GLOBAL TR FUND
CGRN.US         CAPSTONE GREEN ENERGY
CGTX.US         COGNITION THERAPEUTICS
CHCI.US         COMSTOCK HOLDING COS
CHCO.US         CITY HOLDING
CHDN.US         CHURCHILL DOWNS
CHEA.US         CHENGHE ACQUISITION
CHEAU.US        CHENGHE ACQUISITION
CHEAW.US        CHENGHE ACQUISITION
CHEF.US         CHEFS' WAREHOUSE
CHEK.US         CHECK CAP
CHI.US          CALAMOS CONVERTIBLE OPPORTUNITIES AND INCOME FUND
CHK.US          CHESAPEAKE ENERGY
CHKEL.US        CHESAPEAKE ENERGY
CHKEW.US        CHESAPEAKE ENERGY
CHKP.US         CHECK POINT SOFTWARE TECHNOLOGIES
CHMG.US         CHEMUNG FINANCIAL
CHNR.US         CHINA NATURAL RESOURCES
CHPS.US         XTRACKERS SEMICONDUCTOR SELECT EQUITY ETF
CHRD.US         CHORD ENERGY
CHRS.US         COHERUS BIOSCIENCES
CHRW.US         CH ROBINSON WORLDWIDE
CHSCL.US        CHS
CHSCM.US        CHS
CHSCN.US        CHS
CHSCO.US        CHS
CHSCP.US        CHS
CHSN.US         CHANSON INT HOLDING
CHTR.US         CHARTER COMMUNICATIONS
CHUY.US         CHUY'S HOLDINGS
CHW.US          CALAMOS GLOBAL DYNAMIC INCOME FUND
CHX.US          CHAMPIONX
CHY.US          CALAMOS CONVERTIBLE AND HIGH INCOME FUND
CIFR.US         CIPHER MINING
CIFRW.US        CIPHER MINING
CIGI.US         COLLIERS INT GROUP
CINF.US         CINCINNATI FINANCIAL
CING.US         CINGULATE
CINGW.US        CINGULATE
CIRC.US         JPMORGAN SUSTAINABLE CONSUMPTION ETF
CISO.US         CISO GLOBAL
CISS.US         C3IS
CISSV.US        C3IS
CITE.US         CARTICA ACQUISITION
CITEU.US        CARTICA ACQUISITION
CITEW.US        CARTICA ACQUISITION
CIVB.US         CIVISTA BANCSHARES
CIZN.US         CITIZENS HOLDING
CJET.US         CHIJET MOTOR
CJJD.US         CHINA JO-JO DRUGSTORES HOLDINGS
CKPT.US         CHECKPOINT THERAPEUTICS
CLAR.US         CLARUS
CLAY.US         CHAVANT CAPITAL ACQUISITION
CLAYU.US        CHAVANT CAPITAL ACQUISITION
CLBK.US         COLUMBIA FINANCIAL
CLBT.US         CELLEBRITE DI
CLBTW.US        CELLEBRITE DI
CLDX.US         CELLDEX THERAPEUTICS
CLEU.US         CHINA LIBERAL EDUCATION HOLDINGS
CLFD.US         CLEARFIELD
CLGN.US         COLLPLANT BIOTECHNOLOGIES
CLIN.US         CLEAN EARTH ACQUISITIONS
CLINR.US        CLEAN EARTH ACQUISITIONS
CLINU.US        CLEAN EARTH ACQUISITIONS
CLINW.US        CLEAN EARTH ACQUISITIONS
CLIR.US         CLEARSIGN TECHNOLOGIES
CLLS.US         CELLECTIS
CLMB.US         CLIMB GLOBAL SOLUTIONS
CLMT.US         CALUMET SPECIALTY PRODUCTS PARTNERS
CLNE.US         CLEAN ENERGY FUELS
CLNN.US         CLENE
CLNNW.US        CLENE
CLOA.US         BLACKROCK AAA CLO ETF
CLOE.US         CLOVER LEAF CAPITAL
CLOER.US        CLOVER LEAF CAPITAL
CLOEU.US        CLOVER LEAF CAPITAL
CLOV.US         CLOVER HEALTH INVESTMENTS
CLPS.US         CLPS
CLPT.US         CLEARPOINT NEURO
CLRB.US         CELLECTAR BIOSCIENCES
CLRC.US         CLIMATEROCK
CLRCR.US        CLIMATEROCK
CLRCU.US        CLIMATEROCK
CLRO.US         CLEARONE
CLSA.US         CABANA TARGET LEADING SECTOR AGGRESSIVE ETF
CLSC.US         CABANA TARGET LEADING SECTOR CONSERVATIVE ETF
CLSD.US         CLEARSIDE BIOMEDICAL
CLSK.US         CLEANSPARK
CLSM.US         CABANA TARGET LEADING SECTOR MODERATE ETF
CLST.US         CATALYST BANCORP
CLVR.US         CLEVER LEAVES HOLDINGS
CLVRW.US        CLEVER LEAVES HOLDINGS
CLWT.US         EURO TECH HOLDINGS
CLXT.US         CALYXT
CMAX.US         CAREMAX
CMAXW.US        CAREMAX
CMBM.US         CAMBIUM NETWORKS
CMCA.US         CAPITALWORKS EMERGING MARKETS ACQUISITION
CMCAU.US        CAPITALWORKS EMERGING MARKETS ACQUISITION
CMCO.US         COLUMBUS MCKINNON CORP/NY
CMCSA.US        COMCAST
CMCT.US         CREATIVE MEDIA & COMMUNITY TRUST
CME.US          CME GROUP
CMLS.US         CUMULUS MEDIA
CMMB.US         CHEMOMAB THERAPEUTICS
CMND.US         CLEARMIND MEDICINE
CMPO.US         COMPOSECURE
CMPOW.US        COMPOSECURE
CMPR.US         CIMPRESS
CMPS.US         COMPASS PATHWAYS
CMPX.US         COMPASS THERAPEUTICS
CMRA.US         COMERA LIFE SCIENCES HOLDINGS
CMRAW.US        COMERA LIFE SCIENCES HOLDINGS
CMRX.US         CHIMERIX
CMTL.US         COMTECH TELECOMMUNICATIONS
CNDT.US         CONDUENT
CNET.US         ZW DATA ACTION TECHNOLOGIES
CNEY.US         CN ENERGY GROUP
CNFR.US         CONIFER HOLDINGS
CNFRL.US        Conifer Holdings
CNGL.US         CANNA-GLOBAL ACQUISITION
CNGLU.US        CANNA-GLOBAL ACQUISITION
CNGLW.US        CANNA-GLOBAL ACQUISITION
CNOB.US         CONNECTONE BANCORP
CNOBP.US        ConnectOne Bancorp
CNSL.US         CONSOLIDATED COMMUNICATIONS HOLDINGS
CNSP.US         CNS PHARMACEUTICALS
CNTA.US         CENTESSA PHARMACEUTICALS
CNTB.US         CONNECT BIOPHARMA HOLDINGS
CNTG.US         CENTOGENE
CNTX.US         CONTEXT THERAPEUTICS
CNTY.US         CENTURY CASINOS
CNVS.US         CINEVERSE
CNXA.US         CONNEXA SPORTS TECHNOLOGIES IN
CNXC.US         CONCENTRIX
CNXN.US         PC CONNECTION
COCO.US         VITA COCO
COCP.US         COCRYSTAL PHARMA
CODA.US         CODA OCTOPUS GROUP
CODX.US         CO-DIAGNOSTICS
COEP.US         COEPTIS THERAPEUTICS HOLDINGS
COEPW.US        COEPTIS THERAPEUTICS HOLDINGS
COFS.US         CHOICEONE FINANCIAL SERVICES
COGT.US         COGENT BIOSCIENCES
COHU.US         COHU
COIN.US         COINBASE GLOBAL
COKE.US         COCA-COLA CONSOLIDATED
COLB.US         COLUMBIA BANKING SYSTEM
COLL.US         COLLEGIUM PHARMACEUTICAL
COLM.US         COLUMBIA SPORTSWEAR
COMM.US         COMMSCOPE HOLDING
COMS.US         COMSOVEREIGN HOLDING
COMSP.US        COMSovereign Holding Corp
COMSW.US        COMSOVEREIGN HOLDING
CONL.US         GRANITESHARES 1.5X LONG COIN DAILY ETF
CONN.US         CONN'S
CONX.US         CONX
CONXU.US        CONX
CONXW.US        CONX
COOL.US         CORNER GROWTH ACQUISITION
COOLU.US        CORNER GROWTH ACQUISITION
COOLW.US        CORNER GROWTH ACQUISITION
COOP.US         MR COOPER GROUP
COPJ.US         SPROTT JUNIOR COPPER MINERS ETF
CORT.US         CORCEPT THERAPEUTICS
COSM.US         COSMOS HEALTH
COST.US         COSTCO WHOLESALE
COWG.US         PACER US LARGE CAP CASH COWS GROWTH LEADERS ETF
COYA.US         COYA THERAPEUTICS
CPAA.US         CONYERS PARK III ACQUISITION
CPAAU.US        CONYERS PARK III ACQUISITION
CPAAW.US        CONYERS PARK III ACQUISITION
CPHC.US         CANTERBURY PARK HOLDING
CPIX.US         CUMBERLAND PHARMACEUTICALS
CPLP.US         CAPITAL PRODUCT PARTNERS
CPOP.US         POP CULTURE GROUP
CPRT.US         COPART
CPRX.US         CATALYST PHARMACEUTICALS
CPSH.US         CPS TECHNOLOGIES
CPSI.US         COMPUTER PROGRAMS AND SYSTEMS
CPSS.US         CONSUMER PORTFOLIO SERVICES
CPTN.US         CEPTON
CPTNW.US        CEPTON
CPZ.US          CALAMOS LONG/SHORT EQUITY & DYNAMIC INCOME TRUST
CRAI.US         CRA INT
CRBP.US         CORBUS PHARMACEUTICALS HOLDINGS
CRBU.US         CARIBOU BIOSCIENCES
CRCT.US         CRICUT
CRDF.US         CARDIFF ONCOLOGY
CRDL.US         CARDIOL THERAPEUTICS
CRDO.US         CREDO TECHNOLOGY GROUP HOLDING
CREEF.US        CRESCERA CAPITAL ACQUISITION
CREG.US         SMART POWERR
CRESW.US        CRESUD SACIF Y A
CRESY.US        CRESUD SACIF Y A
CREUF.US        CRESCERA CAPITAL ACQUISITION
CREX.US         CREATIVE REALITIES
CREXW.US        CREATIVE REALITIES
CRGE.US         CHARGE ENTERPRISES
CRGO.US         FREIGHTOS
CRGOW.US        FREIGHTOS
CRIS.US         CURIS
CRKN.US         CROWN ELECTROKINETICS
CRMD.US         CORMEDIX
CRMT.US         AMERICA'S CAR-MART INC/TX
CRNC.US         CERENCE
CRNT.US         CERAGON NETWORKS
CRNX.US         CRINETICS PHARMACEUTICALS
CRON.US         CRONOS GROUP
CROX.US         CROCS
CRSP.US         CRISPR THERAPEUTICS
CRSR.US         CORSAIR GAMING
CRTO.US         CRITEO
CRUS.US         CIRRUS LOGIC
CRVL.US         CORVEL
CRVS.US         CORVUS PHARMACEUTICALS
CRWD.US         CROWDSTRIKE HOLDINGS
CRWS.US         CROWN CRAFTS
CSBR.US         CHAMPIONS ONCOLOGY
CSCO.US         CISCO SYSTEMS
CSGP.US         COSTAR GROUP
CSGS.US         CSG SYSTEMS INT
CSIQ.US         CANADIAN SOLAR
CSLM.US         CONSILIUM ACQUISITION I
CSLMR.US        CONSILIUM ACQUISITION I
CSLMU.US        CONSILIUM ACQUISITION I
CSLR.US         COMPLETE SOLARIA
CSLRW.US        COMPLETE SOLARIA
CSPI.US         CSP
CSQ.US          CALAMOS STRATEGIC TR FUND
CSSE.US         CHICKEN SOUP FOR THE SOUL ENTERTAINMENT
CSSEL.US        CHICKEN SOUP FOR THE SOUL ENTERTAINMENT
CSSEN.US        Chicken Soup for the Soul Ente
CSSEP.US        Chicken Soup for the Soul Ente
CSTE.US         CAESARSTONE
CSTL.US         CASTLE BIOSCIENCES
CSTR.US         CAPSTAR FINANCIAL HOLDINGS
CSWC.US         CAPITAL SOUTHWEST
CSWCZ.US        Capital Southwest Corp
CSWI.US         CSW INDUSTRIALS
CSX.US          CSX
CTAS.US         CINTAS
CTBI.US         COMMUNITY TRUST BANCORP
CTCX.US         CARMELL THERAPEUTICS
CTCXU.US        ALPHA HEALTHCARE ACQUISITION III
CTCXW.US        CARMELL THERAPEUTICS
CTG.US          COMPUTER TASK GROUP
CTHR.US         CHARLES & COLVARD
CTIB.US         YUNHONG CTI
CTIC.US         CTI BIOPHARMA
CTKB.US         CYTEK BIOSCIENCES
CTLP.US         CANTALOUPE
CTMX.US         CYTOMX THERAPEUTICS
CTNT.US         CHEETAH NET SUPPLY CHAIN SERVICE
CTRM.US         CASTOR MARITIME
CTRN.US         CITI TRENDS
CTSH.US         COGNIZANT TECHNOLOGY SOLUTIONS
CTSO.US         CYTOSORBENTS
CTXR.US         CITIUS PHARMACEUTICALS
CUBA.US         HERZFELD CARIBBEAN BASIN FUND
CUE.US          CUE BIOPHARMA
CUEN.US         CUENTAS
CULL.US         CULLMAN BANCORP INC/MD
CURI.US         CURIOSITYSTREAM
CURIW.US        CURIOSITYSTREAM
CUTR.US         CUTERA
CVAC.US         CUREVAC
CVBF.US         CVB FINANCIAL
CVCO.US         CAVCO INDUSTRIES
CVCY.US         CENTRAL VALLEY COMMUNITY BANCORP
CVGI.US         COMMERCIAL VEHICLE GROUP
CVGW.US         CALAVO GROWERS
CVKD.US         CADRENAL THERAPEUTICS
CVLG.US         COVENANT LOGISTICS GROUP
CVLT.US         COMMVAULT SYSTEMS
CVLY.US         CODORUS VALLEY BANCORP
CVRX.US         CVRX
CVT.US          CVENT HOLDING
CVV.US          CVD EQUIPMENT
CWBC.US         COMMUNITY WEST BANCSHARES
CWBR.US         COHBAR
CWCO.US         CONSOLIDATED WATER
CWD.US          CALIBERCOS
CWST.US         CASELLA WASTE SYSTEMS
CXAI.US         CXAPP
CXAIW.US        CXAPP
CXDO.US         CREXENDO
CYAD.US         CELYAD ONCOLOGY
CYAN.US         CYANOTECH
CYBR.US         CYBERARK SOFTWARE
CYCC.US         CYCLACEL PHARMACEUTICALS
CYCCP.US        Cyclacel Pharmaceuticals
CYCN.US         CYCLERION THERAPEUTICS
CYN.US          CYNGN
CYRX.US         CRYOPORT
CYT.US          CYTEIR THERAPEUTICS
CYTH.US         CYCLO THERAPEUTICS
CYTHW.US        CYCLO THERAPEUTICS
CYTK.US         CYTOKINETICS
CYTO.US         ALTAMIRA THERAPEUTICS
CYXTQ.US        CYXTERA TECHNOLOGIES
CZFS.US         CITIZENS FINANCIAL SERVICES
CZNC.US         CITIZENS & NORTHERN
CZR.US          CAESARS ENTERTAINMENT
CZWI.US         CITIZENS COMMUNITY BANCORP INC/WI
DADA.US         DADA NEXUS
DAIO.US         DATA I/O
DAKT.US         DAKTRONICS
DALN.US         DALLASNEWS
DALS.US         DA32 LIFE SCIENCE TECH ACQUISITION
DARE.US         DARE BIOSCIENCE
DATS.US         DATCHAT
DATSW.US        DATCHAT
DAVE.US         DAVE
DAVEW.US        DAVE
DAWN.US         DAY ONE BIOPHARMACEUTICALS
DBGI.US         DIGITAL BRANDS GROUP
DBTX.US         DECIBEL THERAPEUTICS
DBVT.US         DBV TECHNOLOGIES
DBX.US          DROPBOX
DCBO.US         DOCEBO
DCFC.US         TRITIUM DCFC
DCFCW.US        TRITIUM DCFC
DCGO.US         DOCGO
DCOM.US         DIME COMMUNITY BANCSHARES
DCOMP.US        Dime Community Bancshares
DCPH.US         DECIPHERA PHARMACEUTICALS
DCTH.US         DELCATH SYSTEMS
DDI.US          DOUBLEDOWN INTERACTIVE
DDOG.US         DATADOG
DECA.US         DENALI CAPITAL ACQUISITION
DECAU.US        DENALI CAPITAL ACQUISITION
DENN.US         DENNY'S
DERM.US         JOURNEY MEDICAL
DFFN.US         DIFFUSION PHARMACEUTICALS
DFLI.US         DRAGONFLY ENERGY HOLDINGS
DFLIW.US        DRAGONFLY ENERGY HOLDINGS
DGHI.US         DIGIHOST TECHNOLOGY
DGICA.US        DONEGAL GROUP
DGICB.US        DONEGAL GROUP
DGII.US         DIGI INT
DGLY.US         DIGITAL ALLY
DH.US           DEFINITIVE HEALTHCARE
DHAC.US         DIGITAL HEALTH ACQUISITION
DHC.US          DIVERSIFIED HEALTHCARE TRUST
DHCA.US         DHC ACQUISITION
DHCAU.US        DHC ACQUISITION
DHCAW.US        DHC ACQUISITION
DHCNI.US        Diversified Healthcare Trust
DHCNL.US        Diversified Healthcare Trust
DHIL.US         DIAMOND HILL INVESTMENT GROUP
DIBS.US         1STDIBS.COM
DICE.US         DICE THERAPEUTICS
DIOD.US         DIODES
DISA.US         DISRUPTIVE ACQUISITION I
DISAU.US        DISRUPTIVE ACQUISITION I
DISAW.US        DISRUPTIVE ACQUISITION I
DISH.US         DISH NETWORK
DIST.US         DISTOKEN ACQUISITION
DISTR.US        DISTOKEN ACQUISITION
DISTW.US        DISTOKEN ACQUISITION
DIVD.US         ALTRIUS GLOBAL DIVIDEND ETF
DJCO.US         DAILY JOURNAL
DKDCA.US        DATA KNIGHTS ACQUISITION
DKDCW.US        DATA KNIGHTS ACQUISITION
DKNG.US         DRAFTKINGS
DLHC.US         DLH HOLDINGS
DLO.US          DLOCAL LTD/URUGUAY
DLPN.US         DOLPHIN ENTERTAINMENT
DLTH.US         DULUTH HOLDINGS
DLTR.US         DOLLAR TREE
DMAC.US         DIAMEDICA THERAPEUTICS
DMAQ.US         DEEP MEDICINE ACQUISITION
DMAQR.US        DEEP MEDICINE ACQUISITION
DMAT.US         GLOBAL X FUNDS-GLOBAL X DISRUPTIVE MATERIALS ETF
DMLP.US         DORCHESTER MINERALS
DMRC.US         DIGIMARC
DMTK.US         DERMTECH
DNLI.US         DENALI THERAPEUTICS
DNUT.US         KRISPY KREME
DOCU.US         DOCUSIGN
DOGZ.US         DOGNESS INT
DOMH.US         DOMINARI HOLDINGS
DOMO.US         DOMO
DOOO.US         BRP
DORM.US         DORMAN PRODUCTS
DOX.US          AMDOCS
DOYU.US         DOUYU INT HOLDINGS
DPCS.US         DP CAP ACQUISITION I
DPCSU.US        DP CAP ACQUISITION I
DPRO.US         DRAGANFLY
DRCT.US         DIRECT DIGITAL HOLDINGS
DRCTW.US        DIRECT DIGITAL HOLDINGS
DRIO.US         DARIOHEALTH
DRMA.US         DERMATA THERAPEUTICS
DRMAW.US        DERMATA THERAPEUTICS
DRRX.US         DURECT
DRS.US          LEONARDO DRS
DRTS.US         ALPHA TAU MEDICAL
DRTSW.US        ALPHA TAU MEDICAL
DRTT.US         DIRTT ENVIRONMENTAL SOLUTIONS
DRUG.US         BRIGHT MINDS BIOSCIENCES
DRVN.US         DRIVEN BRANDS HOLDINGS
DSEY.US         DIVERSEY HOLDINGS
DSGN.US         DESIGN THERAPEUTICS
DSGR.US         DISTRIBUTION SOLUTIONS GROUP
